num_voters,num_alternatives,has_winner
67,7,83.69%
68,7,84.36%
69,7,83.8%
70,7,83.79%
71,7,83.95%
72,7,83.58%
73,7,84.36%
74,7,84.75%
75,7,83.86%
76,7,85.45%
77,7,84.01%
78,7,84.41%
79,7,85.2%
80,7,85.56%
81,7,84.94%
82,7,85.85%
83,7,85.51%
84,7,85.42%
85,7,85.21%
86,7,85.18%
87,7,85.95%
88,7,85.7%
89,7,86.1%
90,7,85.72%
91,7,85.36%
92,7,86.1%
93,7,86.65%
94,7,86.51%
95,7,86.42%
96,7,86.19%
97,7,85.85%
98,7,86.25%
99,7,86.3%
100,7,86.14%
2,8,29.77%
3,8,38.87%
4,8,44.65%
5,8,48.82%
6,8,52.07%
7,8,55.14%
8,8,56.97%
9,8,58.59%
10,8,61.22%
11,8,62.67%
12,8,64.46%
13,8,64.52%
14,8,65.91%
15,8,67.41%
16,8,68.25%
17,8,69.26%
18,8,69.1%
19,8,70.69%
20,8,70.54%
21,8,71.4%
22,8,71.19%
23,8,72.96%
24,8,72.77%
25,8,73.2%
26,8,73.38%
27,8,73.52%
28,8,74.77%
29,8,75.18%
30,8,75.15%
31,8,76.28%
32,8,76.42%
33,8,75.97%
34,8,76.32%
35,8,76.56%
36,8,77.45%
37,8,76.87%
38,8,77.65%
39,8,78.31%
40,8,78.52%
41,8,77.95%
42,8,78.68%
43,8,79.55%
44,8,78.69%
45,8,79.69%
46,8,79.04%
47,8,80.32%
48,8,79.58%
49,8,80.88%
50,8,79.8%
51,8,80.8%
52,8,80.58%
53,8,80.72%
54,8,81.38%
55,8,80.96%
56,8,81.57%
57,8,81.81%
58,8,81.6%
59,8,81.62%
60,8,82.29%
61,8,82.06%
62,8,81.9%
63,8,82.24%
64,8,82.48%
65,8,82.85%
66,8,82.69%
67,8,82.91%
68,8,83.2%
69,8,83.09%
70,8,82.95%
71,8,82.73%
72,8,83.98%
73,8,82.38%
74,8,83.04%
75,8,84.23%
76,8,83.54%
77,8,83.51%
78,8,83.48%
79,8,83.06%
80,8,84.15%
81,8,84.7%
82,8,83.95%
83,8,84.42%
84,8,84.6%
85,8,85.05%
86,8,84.34%
87,8,84.66%
88,8,84.88%
89,8,85.41%
90,8,85.06%
91,8,85.02%
92,8,85.51%
93,8,85.37%
94,8,85.36%
95,8,85.02%
96,8,85.55%
97,8,85.62%
98,8,85.68%
99,8,85.93%
100,8,86.04%
2,9,26.47%
3,9,36.11%
4,9,44.02%
5,9,47.27%
6,9,50.5%
7,9,53.16%
8,9,55.61%
9,9,57.57%
10,9,59.24%
11,9,60.58%
12,9,62.27%
13,9,63.08%
14,9,64.21%
15,9,65.36%
16,9,66.41%
17,9,66.93%
18,9,67.87%
19,9,69.53%
20,9,69.18%
21,9,69.86%
22,9,70.24%
23,9,70.97%
24,9,71.89%
25,9,72.69%
26,9,72.67%
27,9,72.81%
28,9,73.43%
29,9,74.04%
30,9,74.24%
31,9,74.06%
32,9,74.11%
33,9,74.73%
34,9,75.82%
35,9,75.97%
36,9,76.35%
37,9,76.1%
38,9,76.44%
39,9,77.44%
40,9,76.52%
41,9,77.37%
42,9,77.14%
43,9,77.58%
44,9,78.89%
45,9,78.88%
46,9,78.33%
47,9,78.62%
48,9,77.72%
49,9,79.41%
50,9,78.86%
51,9,80.12%
52,9,79.68%
53,9,79.6%
54,9,79.54%
55,9,79.43%
56,9,80.33%
57,9,80.13%
58,9,81.0%
59,9,81.06%
60,9,81.29%
61,9,81.04%
62,9,80.98%
63,9,81.88%
64,9,81.51%
65,9,81.27%
66,9,81.98%
67,9,82.36%
68,9,81.8%
69,9,81.33%
70,9,82.28%
71,9,82.22%
72,9,83.02%
73,9,82.34%
74,9,82.84%
75,9,82.97%
76,9,83.53%
77,9,82.73%
78,9,82.83%
79,9,83.22%
80,9,82.45%
81,9,83.42%
82,9,83.66%
83,9,83.73%
84,9,83.76%
85,9,83.9%
86,9,83.76%
87,9,83.89%
88,9,83.73%
89,9,84.95%
90,9,84.49%
91,9,84.3%
92,9,83.77%
93,9,84.92%
94,9,84.26%
95,9,84.38%
96,9,85.12%
97,9,84.75%
98,9,84.99%
99,9,85.15%
100,9,85.08%
2,10,25.61%
3,10,33.68%
4,10,41.06%
5,10,45.03%
6,10,48.57%
7,10,52.33%
8,10,53.9%
9,10,55.67%
10,10,57.6%
11,10,59.56%
12,10,59.63%
13,10,61.7%
14,10,63.07%
15,10,65.12%
