num_voters,num_alternatives,has_winner
86,6,97.49%
87,6,97.71%
88,6,97.68%
89,6,97.5%
90,6,97.9%
91,6,97.82%
92,6,97.73%
93,6,97.67%
94,6,97.85%
95,6,97.7%
96,6,97.66%
97,6,97.86%
98,6,97.76%
99,6,97.85%
100,6,97.83%
2,7,84.42%
3,7,87.64%
4,7,88.27%
5,7,89.33%
6,7,90.61%
7,7,91.84%
8,7,92.48%
9,7,92.58%
10,7,92.58%
11,7,93.08%
12,7,93.35%
13,7,93.65%
14,7,93.92%
15,7,93.91%
16,7,94.07%
17,7,94.93%
18,7,94.66%
19,7,94.59%
20,7,94.73%
21,7,94.96%
22,7,95.41%
23,7,94.89%
24,7,95.17%
25,7,95.33%
26,7,95.88%
27,7,95.56%
28,7,95.67%
29,7,95.96%
30,7,95.85%
31,7,95.85%
32,7,95.6%
33,7,95.88%
34,7,96.11%
35,7,96.3%
36,7,96.29%
37,7,96.43%
38,7,96.05%
39,7,96.34%
40,7,96.4%
41,7,96.36%
42,7,96.19%
43,7,96.73%
44,7,96.59%
45,7,96.37%
46,7,96.54%
47,7,96.47%
48,7,96.43%
49,7,96.7%
50,7,96.72%
51,7,96.93%
52,7,96.75%
53,7,96.85%
54,7,96.51%
55,7,96.73%
56,7,96.92%
57,7,97.12%
58,7,96.79%
59,7,96.91%
60,7,97.25%
61,7,96.89%
62,7,97.14%
63,7,97.0%
64,7,97.27%
65,7,97.05%
66,7,97.31%
67,7,97.07%
68,7,97.41%
69,7,97.21%
70,7,97.39%
71,7,97.15%
72,7,97.32%
73,7,97.5%
74,7,97.18%
75,7,97.26%
76,7,97.01%
77,7,97.52%
78,7,97.3%
79,7,97.32%
80,7,97.48%
81,7,97.3%
82,7,97.58%
83,7,97.48%
84,7,97.59%
85,7,97.19%
86,7,97.34%
87,7,97.47%
88,7,97.38%
89,7,97.59%
90,7,97.42%
91,7,97.47%
92,7,97.45%
93,7,97.73%
94,7,97.47%
95,7,97.58%
96,7,97.73%
97,7,97.61%
98,7,97.56%
99,7,97.84%
100,7,97.63%
2,8,83.13%
3,8,86.37%
4,8,88.43%
5,8,89.25%
6,8,90.15%
7,8,90.74%
8,8,91.22%
9,8,92.39%
10,8,92.41%
11,8,92.72%
12,8,93.21%
13,8,93.2%
14,8,93.75%
15,8,93.89%
16,8,93.81%
17,8,93.88%
18,8,94.48%
19,8,94.8%
20,8,94.63%
21,8,94.51%
22,8,94.93%
23,8,94.55%
24,8,95.12%
25,8,95.03%
26,8,95.25%
27,8,95.62%
28,8,95.03%
29,8,95.83%
30,8,95.57%
31,8,95.63%
32,8,95.31%
33,8,95.92%
34,8,95.71%
35,8,95.87%
36,8,96.09%
37,8,95.86%
38,8,96.01%
39,8,96.11%
40,8,95.76%
41,8,96.05%
42,8,96.46%
43,8,96.24%
44,8,96.06%
45,8,96.3%
46,8,96.15%
47,8,96.51%
48,8,96.43%
49,8,96.67%
50,8,96.72%
51,8,96.52%
52,8,96.87%
53,8,96.66%
54,8,96.79%
55,8,96.53%
56,8,97.04%
57,8,96.56%
58,8,97.32%
59,8,96.71%
60,8,97.11%
61,8,97.03%
62,8,96.65%
63,8,96.98%
64,8,97.25%
65,8,97.51%
66,8,97.08%
67,8,97.04%
68,8,97.1%
69,8,97.02%
70,8,96.89%
71,8,97.05%
72,8,97.23%
73,8,97.11%
74,8,97.21%
75,8,97.37%
76,8,97.18%
77,8,97.2%
78,8,96.96%
79,8,97.31%
80,8,97.13%
81,8,96.82%
82,8,97.27%
83,8,97.36%
84,8,97.36%
85,8,97.33%
86,8,97.42%
87,8,97.51%
88,8,97.38%
89,8,97.46%
90,8,97.24%
91,8,97.43%
92,8,97.14%
93,8,97.64%
94,8,97.42%
95,8,97.66%
96,8,97.44%
97,8,97.67%
98,8,97.73%
99,8,97.59%
100,8,97.34%
2,9,82.5%
3,9,86.2%
4,9,88.27%
5,9,88.82%
6,9,89.95%
7,9,90.96%
8,9,91.17%
9,9,91.93%
10,9,91.82%
11,9,92.23%
12,9,92.75%
13,9,92.75%
14,9,92.87%
15,9,93.54%
16,9,93.35%
17,9,94.14%
18,9,93.92%
19,9,94.35%
20,9,94.7%
21,9,94.82%
