num_voters,num_alternatives,0_winners,1_winners,2_winners,3_winners,4_winners,5_winners,6_winners,7_winners,8_winners,9_winners,10_winners,has_winner
56,4,9.334%,78.952%,11.531%,0.183%,0,0,0,0,0,0,0,90.666%
57,4,17.409%,82.591%,0,0,0,0,0,0,0,0,0,82.59100000000001%
58,4,9.271%,79.458%,11.098%,0.173%,0,0,0,0,0,0,0,90.729%
59,4,17.313%,82.687%,0,0,0,0,0,0,0,0,0,82.687%
60,4,9.495%,79.357%,10.979%,0.169%,0,0,0,0,0,0,0,90.505%
61,4,17.335%,82.665%,0,0,0,0,0,0,0,0,0,82.66499999999999%
62,4,9.766%,79.29%,10.79%,0.153%,0.001%,0,0,0,0,0,0,90.234%
63,4,17.369%,82.631%,0,0,0,0,0,0,0,0,0,82.631%
64,4,9.805%,79.458%,10.606%,0.131%,0,0,0,0,0,0,0,90.195%
65,4,17.301%,82.699%,0,0,0,0,0,0,0,0,0,82.699%
66,4,9.91%,79.554%,10.402%,0.134%,0,0,0,0,0,0,0,90.09%
67,4,17.536%,82.464%,0,0,0,0,0,0,0,0,0,82.464%
68,4,9.889%,79.905%,10.054%,0.152%,0,0,0,0,0,0,0,90.111%
69,4,17.519%,82.481%,0,0,0,0,0,0,0,0,0,82.481%
70,4,10.066%,79.859%,9.933%,0.142%,0,0,0,0,0,0,0,89.934%
71,4,17.233%,82.767%,0,0,0,0,0,0,0,0,0,82.767%
72,4,10.0%,79.943%,9.914%,0.142%,0.001%,0,0,0,0,0,0,90.0%
73,4,17.243%,82.757%,0,0,0,0,0,0,0,0,0,82.757%
74,4,10.103%,79.836%,9.935%,0.126%,0,0,0,0,0,0,0,89.897%
75,4,17.057%,82.943%,0,0,0,0,0,0,0,0,0,82.943%
76,4,10.268%,80.113%,9.518%,0.101%,0,0,0,0,0,0,0,89.732%
77,4,17.158%,82.842%,0,0,0,0,0,0,0,0,0,82.842%
78,4,10.436%,80.142%,9.315%,0.107%,0,0,0,0,0,0,0,89.564%
79,4,17.321%,82.679%,0,0,0,0,0,0,0,0,0,82.679%
80,4,10.641%,80.06%,9.188%,0.11%,0.001%,0,0,0,0,0,0,89.359%
81,4,17.378%,82.622%,0,0,0,0,0,0,0,0,0,82.622%
82,4,10.767%,79.904%,9.225%,0.104%,0,0,0,0,0,0,0,89.233%
83,4,17.317%,82.683%,0,0,0,0,0,0,0,0,0,82.68299999999999%
84,4,10.649%,80.18%,9.074%,0.097%,0,0,0,0,0,0,0,89.351%
85,4,17.258%,82.742%,0,0,0,0,0,0,0,0,0,82.742%
86,4,10.689%,80.224%,9.006%,0.081%,0,0,0,0,0,0,0,89.311%
87,4,17.348%,82.652%,0,0,0,0,0,0,0,0,0,82.652%
88,4,10.857%,80.202%,8.861%,0.08%,0,0,0,0,0,0,0,89.143%
89,4,17.521%,82.479%,0,0,0,0,0,0,0,0,0,82.479%
90,4,10.963%,80.318%,8.638%,0.081%,0,0,0,0,0,0,0,89.037%
91,4,17.27%,82.73%,0,0,0,0,0,0,0,0,0,82.73%
92,4,10.842%,80.497%,8.573%,0.088%,0,0,0,0,0,0,0,89.158%
