num_voters,num_alternatives,has_winner
36,7,96.0%
37,7,96.43%
38,7,95.69%
39,7,96.55%
40,7,96.43%
41,7,96.21%
42,7,96.23%
43,7,96.43%
44,7,96.42%
45,7,96.66%
46,7,96.48%
47,7,96.53%
48,7,96.57%
49,7,96.88%
50,7,96.59%
51,7,96.66%
52,7,96.52%
53,7,96.76%
54,7,96.66%
55,7,96.97%
56,7,97.03%
57,7,97.19%
58,7,97.06%
59,7,97.35%
60,7,97.23%
61,7,96.58%
62,7,97.17%
63,7,97.21%
64,7,97.17%
65,7,97.03%
66,7,97.07%
67,7,97.39%
68,7,97.29%
69,7,97.42%
70,7,97.55%
71,7,97.37%
72,7,97.25%
73,7,97.73%
74,7,97.15%
75,7,97.74%
76,7,97.66%
77,7,97.66%
78,7,97.47%
79,7,97.62%
80,7,97.48%
81,7,97.9%
82,7,97.44%
83,7,97.36%
84,7,97.49%
85,7,97.41%
86,7,97.63%
87,7,97.89%
88,7,97.48%
89,7,97.75%
90,7,97.57%
91,7,97.99%
92,7,97.84%
93,7,97.58%
94,7,97.76%
95,7,97.92%
96,7,97.76%
97,7,97.83%
98,7,97.69%
99,7,98.1%
100,7,97.66%
2,8,63.32%
3,8,94.48%
4,8,80.38%
5,8,90.12%
6,8,86.94%
7,8,91.31%
8,8,90.0%
9,8,92.02%
10,8,91.4%
11,8,92.5%
12,8,92.38%
13,8,93.57%
14,8,93.03%
15,8,94.14%
16,8,93.43%
17,8,93.58%
18,8,94.42%
19,8,94.81%
20,8,95.01%
21,8,95.12%
22,8,95.06%
23,8,95.31%
24,8,95.0%
25,8,95.69%
26,8,95.43%
27,8,95.6%
28,8,95.85%
29,8,95.59%
30,8,95.67%
31,8,95.97%
32,8,95.85%
33,8,96.04%
34,8,96.26%
35,8,96.09%
36,8,95.93%
37,8,96.45%
38,8,95.92%
39,8,96.08%
40,8,96.52%
41,8,96.52%
42,8,96.42%
43,8,96.89%
44,8,96.37%
45,8,96.49%
46,8,96.91%
47,8,96.94%
48,8,96.79%
49,8,96.8%
50,8,96.86%
51,8,96.87%
52,8,96.99%
53,8,96.84%
54,8,96.94%
55,8,97.03%
56,8,97.31%
57,8,96.77%
58,8,97.11%
59,8,97.21%
60,8,96.92%
61,8,96.98%
62,8,97.0%
63,8,97.09%
64,8,97.36%
65,8,97.29%
66,8,96.99%
67,8,97.49%
68,8,97.25%
69,8,97.67%
70,8,97.38%
71,8,97.15%
72,8,97.39%
73,8,97.41%
74,8,97.36%
75,8,97.43%
76,8,97.52%
77,8,97.56%
78,8,97.52%
79,8,97.6%
80,8,97.6%
81,8,97.41%
82,8,97.6%
83,8,97.87%
84,8,97.5%
85,8,97.46%
86,8,97.67%
87,8,97.89%
88,8,97.76%
89,8,97.76%
90,8,97.51%
91,8,97.91%
92,8,97.81%
93,8,97.87%
94,8,97.77%
95,8,97.91%
96,8,97.55%
97,8,97.79%
98,8,97.57%
99,8,97.79%
100,8,97.77%
2,9,74.04%
3,9,74.91%
4,9,85.02%
5,9,87.63%
6,9,87.61%
7,9,90.74%
8,9,91.31%
9,9,91.77%
10,9,92.26%
11,9,92.93%
12,9,93.39%
13,9,93.92%
14,9,93.74%
15,9,94.35%
16,9,94.26%
17,9,94.51%
18,9,94.67%
19,9,94.74%
20,9,94.86%
21,9,94.9%
22,9,95.15%
23,9,95.15%
24,9,95.23%
25,9,95.5%
26,9,95.42%
27,9,95.94%
28,9,95.8%
29,9,95.74%
30,9,95.81%
31,9,95.95%
32,9,96.04%
33,9,96.3%
34,9,96.31%
35,9,96.3%
36,9,96.11%
37,9,96.32%
38,9,96.42%
39,9,96.58%
40,9,96.69%
41,9,96.73%
42,9,96.48%
43,9,96.79%
44,9,96.67%
45,9,96.89%
46,9,96.7%
47,9,97.14%
48,9,97.07%
49,9,97.0%
50,9,96.87%
51,9,97.17%
52,9,97.05%
53,9,97.15%
54,9,97.06%
55,9,97.16%
56,9,97.24%
57,9,97.31%
58,9,97.26%
59,9,97.56%
60,9,97.41%
61,9,97.45%
62,9,97.38%
63,9,97.39%
64,9,97.42%
65,9,97.38%
66,9,97.71%
67,9,97.24%
68,9,97.53%
69,9,97.27%
70,9,97.34%
71,9,97.41%
72,9,97.79%
73,9,97.48%
74,9,97.59%
75,9,97.65%
76,9,97.42%
77,9,97.62%
78,9,97.57%
79,9,97.69%
80,9,97.67%
81,9,97.42%
82,9,97.86%
83,9,97.89%
84,9,97.91%
85,9,97.97%
86,9,97.71%
87,9,97.91%
88,9,97.77%
89,9,97.97%
90,9,97.8%
91,9,97.81%
92,9,97.87%
93,9,97.67%
94,9,97.94%
95,9,97.94%
96,9,97.92%
97,9,97.79%
98,9,98.03%
99,9,97.85%
100,9,97.79%
2,10,63.98%
3,10,88.61%
4,10,81.93%
5,10,86.44%
6,10,87.99%
7,10,91.24%
8,10,90.69%
9,10,92.45%
10,10,92.33%
11,10,93.2%
12,10,93.04%
13,10,93.93%
14,10,93.83%
15,10,94.3%
16,10,94.55%
17,10,94.45%
18,10,94.71%
19,10,95.2%
20,10,94.65%
21,10,95.39%
22,10,95.44%
23,10,95.65%
24,10,95.5%
25,10,95.65%
26,10,95.66%
27,10,95.88%
28,10,96.12%
29,10,96.04%
30,10,96.21%
31,10,95.66%
32,10,96.15%
33,10,96.2%
34,10,96.26%
35,10,96.24%
36,10,96.21%
37,10,96.51%
38,10,96.81%
39,10,96.95%
40,10,96.59%
41,10,96.77%
42,10,97.04%
43,10,96.92%
44,10,97.12%
45,10,97.18%
46,10,96.89%
47,10,96.77%
48,10,96.79%
49,10,97.17%
50,10,96.98%
51,10,97.56%
52,10,97.41%
53,10,97.02%
54,10,97.39%
55,10,97.56%
56,10,97.2%
57,10,97.54%
58,10,96.94%
59,10,97.3%
60,10,97.52%
61,10,97.43%
62,10,97.55%
63,10,97.49%
64,10,97.31%
65,10,97.56%
66,10,97.25%
67,10,97.49%
68,10,97.5%
69,10,97.42%
70,10,97.67%
71,10,97.48%
72,10,97.74%
73,10,97.46%
74,10,97.56%
75,10,97.7%
76,10,97.98%
77,10,97.97%
78,10,97.9%
79,10,97.84%
80,10,97.75%
81,10,97.78%
82,10,97.75%
83,10,97.82%
84,10,98.0%
85,10,97.65%
86,10,98.0%
87,10,97.79%
88,10,97.91%
89,10,97.87%
90,10,98.06%
91,10,97.79%
92,10,97.94%
93,10,98.12%
94,10,97.95%
95,10,98.14%
96,10,97.95%
97,10,98.09%
98,10,98.09%
99,10,97.92%
100,10,98.18%
